id,player_id,name,country,role,is_overseas,set_number,base_price_cr,telegram_file_id,telegram_photo_path
264,PLY0264,Mark Adair,Ireland,Right-Hand Batter/Right-Arm Fast All-Rounder,t,10,0.50,AgACAgUAAyEGAAT_2KgcAAIBcWqRnfXNvrKG2m9dlmzhEFXy1kQKAAJPEGsb7oqRVMtxfFcWq-zWAQADAgADeAADPQQ,data/photos/PLY0264.jpg
266,PLY0266,Aamer Jamal,Pakistan,Right-Hand Batter/Right-Arm Fast All-Rounder,t,10,0.50,AgACAgUAAyEGAAT_2KgcAAIBc2qRnfevSd7TB34ijy8ibrHkn-rdAAJREGsb7oqRVCXzVMqPx9nFAQADAgADeAADPQQ,data/photos/PLY0266.jpg
242,PLY0242,Blessing Muzarabani,Zimbabwe,Right-Arm Fast Bowler,t,9,0.50,AgACAgUAAyEGAAT_2KgcAAIBw2qRnuvsxf7DtpxACglIMM1vRvyZAAKeEGsb7oqRVDzPnQXUstO6AQADAgADeAADPQQ,data/photos/PLY0242.jpg
244,PLY0244,Ben Coad,England,Fast Bowler,f,9,0.50,AgACAgUAAyEGAAT_2KgcAAIBxWqRnu0AARblYtY6UCWx35pJExr7CwACoBBrG-6KkVQBTsTPuXj4EgEAAwIAA3kAAz0E,data/photos/PLY0244.jpg
393,PLY0393,Blake Cullen,England,Fast Bowler,f,14,0.25,AgACAgUAAyEGAAT_2KgcAAIB02qRnyP95tkCKRF0cE-rLzmBg0fmAAKxEGsb7oqRVEJXlVrgz5D_AQADAgADeQADPQQ,data/photos/PLY0393.jpg
308,PLY0308,Luke Fletcher,England,Fast Bowler,f,11,0.25,AgACAgUAAyEGAAT_2KgcAAIDKGqT0_-kogNEZPu6NKHoTU6mbJX2AAKXE2sbW7GYVLkUd4iak_biAQADAgADeAADPQQ,data/photos/PLY0308.jpg
309,PLY0309,Tom Helm,England,Fast Bowler,f,11,0.25,AgACAgUAAyEGAAT_2KgcAAIDKWqT1AABzoLLg-KdOPOy8FOQZZ65VwACmBNrG1uxmFT0OQmjpM4YNQEAAwIAA3kAAz0E,data/photos/PLY0309.jpg
311,PLY0311,Nikhil Choudhary,India,Batter,t,12,0.50,AgACAgUAAyEGAAT_2KgcAAIDK2qT1ATNK_iHPfPQmYVNN9y8blpPAAKaE2sbW7GYVHaJF6CrEJa6AQADAgADeQADPQQ,data/photos/PLY0311.jpg
313,PLY0313,Nick Gubbins,England,Batter,f,12,0.50,AgACAgUAAyEGAAT_2KgcAAIDLWqT1Ab4M-IvwY1xU7y5Dl4H-htIAAKcE2sbW7GYVJFMnHBc2IsmAQADAgADeQADPQQ,data/photos/PLY0313.jpg
314,PLY0314,Tom Lammonby,England,Batter,f,12,0.50,AgACAgUAAyEGAAT_2KgcAAIDLmqT1AZzbAABHcN7MJOWobI9XdwtfwACnRNrG1uxmFSG5vp7An0UXAEAAwIAA3kAAz0E,data/photos/PLY0314.jpg
316,PLY0316,Jack Haynes,England,Batter,f,12,0.50,AgACAgUAAyEGAAT_2KgcAAIB-2qRoJHQoNeLfS1pUJVhjcExEfEsAALYEGsb7oqRVM3wXr-QIMazAQADAgADeQADPQQ,data/photos/PLY0316.jpg
318,PLY0318,Angelo Mathews,Sri Lanka,Right-Hand Batter/Right-Arm Medium All-Rounder,t,12,0.50,AgACAgUAAyEGAAT_2KgcAAIB_WqRoJMFCOUnEgToKY9hoh9RlBJjAALaEGsb7oqRVEqwIXWgE1RlAQADAgADeQADPQQ,data/photos/PLY0318.jpg
282,PLY0282,Keacy Carty,West Indies,Right-Hand Batter,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAICrGqT0OVQGKkXCtuJ44Txyi-gF_VfAAJyE2sbW7GYVH2EkHx8D_h7AQADAgADeAADPQQ,data/photos/PLY0282.jpg
291,PLY0291,Odean Smith,West Indies,Right-Hand Batter/Right-Arm Fast All-Rounder,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDFmqT06xw7kKuHq4QMjSQRe3x9JSDAAKGE2sbW7GYVHHY2edD8T80AQADAgADeAADPQQ,data/photos/PLY0291.jpg
284,PLY0284,Avishka Fernando,Sri Lanka,Right-Hand Batter,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAPqapGSEt6VGxj3PNpZheyRHVMKWW8AAsAQaxsq-pBUd40gUhdz4ZYBAAMCAAN4AAM9BA,data/photos/PLY0284.jpg
285,PLY0285,Josh Bohannon,England,Batter,f,11,0.50,AgACAgUAAyEGAAT_2KgcAAPrapGSE0P0NP_6B4mo5qZ_Lghyt3wAAsEQaxsq-pBU-M5yyfH45_8BAAMCAAN4AAM9BA,data/photos/PLY0285.jpg
320,PLY0320,George Balderson,England,Bowling All-Rounder (Pace),f,12,0.50,AgACAgUAAyEGAAT_2KgcAAPtapGSNzA8h3BRf43PrfKAQE3S4KYAAsMQaxsq-pBU6VpgtQ-kArYBAAMCAAN5AAM9BA,data/photos/PLY0320.jpg
322,PLY0322,George Hill,England,Bowling All-Rounder (Pace),f,12,0.50,AgACAgUAAyEGAAT_2KgcAAPvapGSOiOGPJufwNKSE-rpZP9jiUcAAsUQaxsq-pBUn3sMhaWD1foBAAMCAAN3AAM9BA,data/photos/PLY0322.jpg
323,PLY0323,Fynn Hudson-Prentice,England,Bowling All-Rounder (Pace),f,12,0.50,AgACAgUAAyEGAAT_2KgcAAPwapGSOrY-cQuoQX6QUFd7dUaz-j0AAsYQaxsq-pBUz-9E7wABLpYbAQADAgADeQADPQQ,data/photos/PLY0323.jpg
325,PLY0325,Mehidy Hasan Miraz,Bangladesh,Right-Hand Batter/Right-Arm Off-Spin All-Rounder,t,12,0.50,AgACAgUAAyEGAAT_2KgcAAPyapGSPOakD5JeIJG5gufjezvU9oIAAsgQaxsq-pBUpSt5GOLbTIQBAAMCAAN4AAM9BA,data/photos/PLY0325.jpg
327,PLY0327,Dushmantha Chameera,Sri Lanka,Right-Arm Fast Bowler,t,12,0.25,AgACAgUAAyEGAAT_2KgcAAP0apGSPd4T_Cp8YsdR1JYjExVBA5kAAsoQaxsq-pBUBEV-eGiFgnsBAAMCAAN5AAM9BA,data/photos/PLY0327.jpg
328,PLY0328,Tom Bailey,England,Fast Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP1apGSPmi5Ey6kCldbVSjxxHUk85cAAssQaxsq-pBU7pdpukzYEBABAAMCAAN5AAM9BA,data/photos/PLY0328.jpg
